"(Back up)「大眾對社會企業定義的看法」調查 ""General public's view on definition of social enterprise"" survey  (回應)","1. 您聽過「社會企業」這個詞嗎？ Have you ever heard of the term “social enterprise”?","2. 您能提供一些社會企業的例子嗎？ Could you provide some of the examples of social enterprises?","3. 您認為現時社會企業的宣傳足夠嗎？ Do you think the current publicity of social enterprises is enough?","4. 您認為您對社會企業的定義有充分的了解嗎？ Do you think you comprehend the definition of social enterprise in its entirety?","5. 你有沒有曾經在任何一間社會企業消費？ Have you ever made a purchase in a social enterprise?","6. 您認為在社企消費等於幫助社會嗎？ Do you agree that buying from social enterprises will help society?","7. 你認為社會企業應該把多少比例的企業淨利潤作為股東分紅？ What proportion of corporate net profits do you think social enterprises should pay out as dividends to shareholders?","8. 你認為社會企業應該擁有多少比例的資金來至其商業模式而不是其他基金或資助？ What proportion of capital do you think social enterprises should have come from their business model as opposed to other funds or grants?","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [a. 為有特殊教育需要兒童提供專業訓練 Provide professional training for children with special educational needs]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [b. 讓社會弱勢社群共同參與足球活動，創造共融社會 Allow disadvantaged groups in society to participate in football activities and create an inclusive society]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [c. 為有需要的人士提供可靠的聽力檢驗結果  Provide reliable hearing test results to those in need]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [d. 提供個別關懷，全面照顧和復康運動 Provide individual care, comprehensive care and rehabilitative exercise]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [e. 改善長者身體平衡，防止跌倒受傷 Improve the body balance of the elderly and prevent falls and injuries]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [f. 推動長者及其家人建立身心靈全人健康狀態 Promote the elderly and their families to establish a healthy state of body, mind and spirit]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [g. 促進正面發展並灌輸正確價值觀給幼稚園到大學的學生 Promote positive development and instill the right values ​​in students from kindergarten to university]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [h. 向富有才華的青年人提供表演平台 Provide performance platform to talented young people]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [i. 以中式酒樓業務為弱勢婦女的提供工作及培訓機會 Providing job and training opportunities for disadvantaged women through Chinese restaurant business]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [j. 支持本地生產及生態種植 Support local production and ecological planting]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [k. 推廣素食文化，建立健康社區 Promote vegetarian culture and build healthy communities]","9. 你多大程度上同意以下範疇屬於社會使命？ To what extent do you consider the following categories to be social missions? [l. 利用健身室或提供瑜伽班推廣全民健康 Use fitness studios or provide yoga classes to promote universal health]","10. 您認為在香港創辦社會企業必須符合下列哪一項要求？ Which of the following requirement(s) do you think have to fulfill for starting a social enterprise in Hong Kong?","11. 您認為在香港開設社會企業需要有關牌照或者認證嗎？ Do you think licensing or a certificate is required to start a social enterprise in Hong Kong?","12. 據你所知，現時有沒有特定法例規管社會企業嗎？ Do you think there is any specific legislations currently regulating social enterprises?","13. 您認為誰可以在香港創辦社會企業？(可選擇多項） Who(s) can launch a social enterprise in Hong Kong?","您的年齡 Your age group","您的教育水平  Your education level","您的收入水平(每月) Your income level (Per month)","你是從哪裡得知此問卷？ Where did you receive this questionnaire?","推薦人名稱 Recommender name"
2025年2月6日 上午09:04:27,是 Yes,"Patagonia, iBakery, 銀杏館",否 No,否 No,是 Yes,是 Yes,½,50% - 79%,同意 Agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）",是 Yes,否 No,"非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government, 慈善機構 Charity, 企業 Enterprises",26-35 歳 26-35 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$60000 - $80000,朋友 Friends,
2025年2月6日 上午09:21:54,是 Yes,A few local small cafe but forgot the name,否 No,否 No,是 Yes,是 Yes,⅓,80% - 100%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）",是 Yes,否 No,任何人 Anyone,26-35 歳 26-35 years old,專上教育 (碩士／博士學位課程) Higher education (Master/ Doctor programmes),$60000 - $80000,朋友 Friends,
2025年2月6日 上午09:37:38,是 Yes,Ibakery 銀杏館 軟餐俠 dialogue in the dark,否 No,否 No,是 Yes,否 No,⅓,50% - 79%,同意 Agree,不同意 Disagree,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,不同意 Disagree,不同意 Disagree,不同意 Disagree,同意 Agree,不同意 Disagree,不同意 Disagree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 非政府組織 Non-Government Organization (NGO), 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,任何人 Anyone,36-50 歳 36-50 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$60000 - $80000,朋友 Friends,
2025年2月6日 上午10:15:28,否 No,否,否 No,否 No,否 No,否 No,⅓,0% - 19%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,非常同意 Strongly agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation)",是 Yes,否 No,"政府 The Government, 慈善機構 Charity",26-35 歳 26-35 years old,專上教育 (碩士／博士學位課程) Higher education (Master/ Doctor programmes),$20000 - $39999,朋友 Friends,
2025年2月6日 上午11:19:40,是 Yes,不能,是 Yes,是 Yes,是 Yes,是 Yes,0,0% - 19%,不同意 Disagree,同意 Agree,非常同意 Strongly agree,不同意 Disagree,非常同意 Strongly agree,不同意 Disagree,同意 Agree,不同意 Disagree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation),是 Yes,是 Yes,"政府 The Government, 慈善機構 Charity",26-35 歳 26-35 years old,小學畢業或以下 Graduating from primary school or below,$20000 以下 Below $20000,香港社會企業總會社交媒體帳戶 Our social media account,
2025年2月6日 上午11:21:59,否 No,无,是 Yes,是 Yes,是 Yes,是 Yes,½,20% - 49%,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,"一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,是 Yes,"非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government",36-50 歳 36-50 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 - $39999,朋友 Friends,
2025年2月6日 上午11:26:12,是 Yes,红十字会,是 Yes,是 Yes,是 Yes,是 Yes,⅓,0% - 19%,非常同意 Strongly agree,同意 Agree,同意 Agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,同意 Agree,同意 Agree,"一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE)",是 Yes,否 No,"任何人 Anyone, 非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government",26-35 歳 26-35 years old,中學畢業 Graduating from secondary school,$20000 - $39999,朋友 Friends,
2025年2月6日 上午11:27:31,是 Yes,基金会,是 Yes,是 Yes,否 No,是 Yes,⅓,20% - 49%,不同意 Disagree,不同意 Disagree,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,"一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,是 Yes,非政府組織/非牟利組織 NGOs/NPOs,36-50 歳 36-50 years old,中學畢業 Graduating from secondary school,$20000 - $39999,朋友 Friends,
2025年2月6日 下午02:13:14,否 No,Don’t know,否 No,否 No,否 No,否 No,½,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,肩負社會使命 Having a social mission,是 Yes,是 Yes,任何人 Anyone,36-50 歳 36-50 years old,中學畢業 Graduating from secondary school,$20000 - $39999,Time Auction,Chan Yuen Lam Priscilla
2025年2月6日 下午04:13:55,是 Yes,救济会,是 Yes,否 No,是 Yes,是 Yes,½,0% - 19%,不同意 Disagree,同意 Agree,非常不同意 Strongly disagree,非常同意 Strongly agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,"一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,是 Yes,慈善機構 Charity,18-25 歳 18-25 years old,小學畢業或以下 Graduating from primary school or below,$40000 - $59999,電子郵件 Email,
2025年2月6日 下午04:16:31,是 Yes,不,是 Yes,是 Yes,是 Yes,否 No,⅓,20% - 49%,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,"一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable",是 Yes,是 Yes,非政府組織/非牟利組織 NGOs/NPOs,36-50 歳 36-50 years old,中學畢業 Graduating from secondary school,$20000 - $39999,朋友 Friends,
2025年2月6日 下午04:17:39,否 No,否,否 No,否 No,否 No,否 No,⅓,20% - 49%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 非政府組織 Non-Government Organization (NGO)",否 No,是 Yes,"非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government",36-50 歳 36-50 years old,專上教育 (非學位／副學位課程) Higher education (Non-degree/Sub-degree programmes),$20000 - $39999,香港社會企業總會社交媒體帳戶 Our social media account,
2025年2月6日 下午04:23:39,否 No,不能,否 No,否 No,否 No,是 Yes,½,20% - 49%,同意 Agree,不同意 Disagree,同意 Agree,不同意 Disagree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,同意 Agree,同意 Agree,"獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable",是 Yes,否 No,"非政府組織/非牟利組織 NGOs/NPOs, 慈善機構 Charity",36-50 歳 36-50 years old,專上教育 (非學位／副學位課程) Higher education (Non-degree/Sub-degree programmes),$40000 - $59999,朋友 Friends,
2025年2月6日 下午04:25:53,是 Yes,养老院,是 Yes,是 Yes,否 No,否 No,⅓,20% - 49%,非常同意 Strongly agree,同意 Agree,不同意 Disagree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,"一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,是 Yes,任何人 Anyone,51-64 歳 51-64 years old,專上教育 (非學位／副學位課程) Higher education (Non-degree/Sub-degree programmes),$20000 - $39999,朋友 Friends,
2025年2月6日 下午06:53:17,否 No,Not sure,否 No,否 No,否 No,是 Yes,½,20% - 49%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,"非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,朋友 Friends,
2025年2月6日 下午06:55:02,否 No,not sure,否 No,否 No,否 No,是 Yes,½,20% - 49%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,"非政府組織/非牟利組織 NGOs/NPOs, 政府 The Government, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,Time Auction,Chan Yuen Lam Priscilla
2025年2月6日 下午07:43:28,否 No,no,否 No,否 No,否 No,否 No,全部 All,0% - 19%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,肩負社會使命 Having a social mission,是 Yes,否 No,任何人 Anyone,18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,朋友 Friends,
2025年2月6日 下午09:23:14,是 Yes,工聯會 東華三院,是 Yes,是 Yes,否 No,是 Yes,½,20% - 49%,非常同意 Strongly agree,同意 Agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,同意 Agree,非常同意 Strongly agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）",否 No,是 Yes,"任何人 Anyone, 非政府組織/非牟利組織 NGOs/NPOs, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,Time Auction,Chan Yuen Lam Priscilla
2025年2月7日 下午04:11:38,是 Yes,綠在區區（？,否 No,否 No,否 No,是 Yes,0,20% - 49%,不同意 Disagree,同意 Agree,不同意 Disagree,不同意 Disagree,同意 Agree,不同意 Disagree,不同意 Disagree,不同意 Disagree,同意 Agree,同意 Agree,同意 Agree,不同意 Disagree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 受政府或企業資助 Subsidized by the Government or private enterprise, 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）",是 Yes,是 Yes,"任何人 Anyone, 非政府組織/非牟利組織 NGOs/NPOs, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,Chan Yuen Lam Priscilla ,
2025年2月7日 下午04:19:59,是 Yes,綠在區區（？,否 No,否 No,否 No,是 Yes,⅓,20% - 49%,不同意 Disagree,同意 Agree,同意 Agree,不同意 Disagree,不同意 Disagree,不同意 Disagree,不同意 Disagree,不同意 Disagree,同意 Agree,同意 Agree,不同意 Disagree,不同意 Disagree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 受政府或企業資助 Subsidized by the Government or private enterprise, 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）",是 Yes,是 Yes,"任何人 Anyone, 非政府組織/非牟利組織 NGOs/NPOs, 慈善機構 Charity, 企業 Enterprises",18-25 歳 18-25 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,Chan Yuen Lam Priscilla,
2025年2月7日 下午11:43:22,是 Yes,銀杏館,否 No,是 Yes,是 Yes,是 Yes,½,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,任何人 Anyone,26-35 歳 26-35 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,Time Auction,PHILIP LAM
2025年2月8日 上午08:43:43,是 Yes,請一些殘疾人士工作的小規模食佔,否 No,是 Yes,是 Yes,是 Yes,⅓,80% - 100%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,"任何人 Anyone, 非政府組織/非牟利組織 NGOs/NPOs, 慈善機構 Charity",65 歳以上 over 65,專上教育 (碩士／博士學位課程) Higher education (Master/ Doctor programmes),$20000 以下 Below $20000,PHILIP LAM,
2025年2月8日 下午01:01:53,是 Yes,聘請殘疾人士工作，通常是細企業,否 No,否 No,是 Yes,是 Yes,⅓,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO)",是 Yes,否 No,"非政府組織/非牟利組織 NGOs/NPOs, 慈善機構 Charity, 企業 Enterprises",65 歳以上 over 65,專上教育 (碩士／博士學位課程) Higher education (Master/ Doctor programmes),$20000 以下 Below $20000,Philip Lam,
2025年2月9日 下午12:16:55,是 Yes,no,否 No,否 No,否 No,是 Yes,½,50% - 79%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,"政府 The Government, 慈善機構 Charity",26-35 歳 26-35 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,Philip LAM,
2025年2月9日 下午06:31:05,否 No,🈚,否 No,否 No,否 No,是 Yes,½,20% - 49%,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,同意 Agree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,"任何人 Anyone, 政府 The Government, 慈善機構 Charity",26-35 歳 26-35 years old,專上教育 (學士學位課程) Higher education (Degree programmes),$20000 以下 Below $20000,朋友 Friends,
2025年2月9日 下午06:45:49,否 No,否,否 No,否 No,是 Yes,是 Yes,0,0% - 19%,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,非常同意 Strongly agree,同意 Agree,同意 Agree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,非常不同意 Strongly disagree,"肩負社會使命 Having a social mission, 一定比例的企業淨利（例如至少 ⅔ ）必須投放經營社企上 A certain ratio (e.g. at least ⅔) of the net profit has to be reinvested in the social enterprises’ operation), 獲得政府或社會企業組織的認證（例如 香港社會服務聯會社企指南 SEBC、香港社會企業總會社企認證 SEEMARK）Recognized by the Government or Social Enterprise organization (e.g. SE Directory of HKCSS, SEE MARK of GCSE), 透過提供服務或產品銷售創造收入，自負盈虧 Generate income by providing services or selling products and  be financially self-sustainable, 受政府或企業資助 Subsidized by the Government or private enterprise, 非政府組織 Non-Government Organization (NGO), 必須實踐及履行 ESG（環境、社會和治理）/CSR（企業社會責任）, 稅務局確認的慈善組織（俗稱88牌） A charitable organization recognized by the Inland Revenue under Section 88.其他: 請註明( others: please specify )",是 Yes,否 No,任何人 Anyone,36-50 歳 36-50 years old,中學畢業 Graduating from secondary school,$20000 以下 Below $20000,Philip Lam,
